name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 0746+20 b,Confirmed,30.0,25.0,25.0,,,,0.97,0.06,0.06,4640.0,25.0,25.0,2.897,0.005,0.005,0.487,0.003,0.003,138.2,0.5,0.5,0.237265,2010,2012-01-20,354.4,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0746+20,116.6791667,20.0088889,,,,,,12.21,0.05,0.05,,,,0.12,0.09,0.09,0.089,0.003,0.003,,,,,2205.0,50.0,50.0,,,
2M 1207-39 b,Confirmed,4.0,1.0,1.0,,,,,,,,,,46.0,5.0,5.0,,,,,,,0.877863,2004,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 1207-39,181.8875,-39.5483333,20.15,15.95,13.0,,,52.4,1.1,1.1,,,,0.025,,,,,,M8,0.008,0.003,0.003,,,,,,
2M 2140+16 b,Confirmed,20.0,20.0,80.0,,,,0.92,0.39,0.39,7340.0,584.0,584.0,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,2012-01-20,223.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25.0,10.0,10.0,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300.0,80.0,80.0,,,
2M 2206-20 b,Confirmed,30.0,20.0,70.0,,,,1.3,0.18,0.18,8686.0,69.4,69.4,4.48,0.4,0.4,0.0,,,44.3,0.7,0.7,0.167979,2010,2012-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350.0,80.0,80.0,,,
30 Ari B b,Confirmed,9.88,0.94,0.94,9.88,0.94,0.94,,,,335.1,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,,,,0.025254,2009,2009-11-27,307.0,18.0,18.0,2454538.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,30 Ari B,39.2416667,24.6480556,7.1,,,,,39.4,1.7,1.7,0.12,0.08,0.08,1.22,0.08,0.08,1.23,0.07,0.07,F6V,0.91,0.03,0.03,6484.0,98.0,98.0,,,
4 Uma b,Confirmed,7.1,1.6,1.6,7.1,1.6,1.6,,,,269.3,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,,,,0.011083,2007,2014-08-27,23.81,4.42,4.42,2452987.3936,4.31,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,4 Uma,130.0541667,64.3280556,5.79,,,,,78.5,1.6,1.6,-0.25,0.04,0.04,1.234,0.15,0.15,,,,K1III,4.604,2.0,2.0,4415.0,70.0,70.0,,,
42 Dra b,Confirmed,3.88,0.85,0.85,3.88,0.85,0.85,,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,0.01223,2009,2009-03-23,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,42 Dra,276.4958333,65.5636111,4.83,,,,,97.3,5.0,5.0,-0.46,0.05,0.05,0.98,0.05,0.05,22.03,1.0,1.0,K1.5III,9.49,1.76,1.76,4200.0,70.0,70.0,,,
47 Uma b,Confirmed,2.53,0.06,0.07,2.53,0.06,0.07,,,,1078.0,2.0,2.0,2.1,0.02,0.02,0.032,0.014,0.014,,,,0.150322,1996,2014-08-27,334.0,23.0,23.0,2451917.0,76.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
47 Uma c,Confirmed,0.54,0.073,0.066,0.54,0.073,0.066,,,,2391.0,87.0,100.0,3.6,0.1,0.1,0.098,0.096,0.047,,,,0.257695,2001,2014-08-27,295.0,160.0,114.0,2456441.0,825.0,628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
47 Uma d,Confirmed,1.64,0.48,0.29,1.64,0.48,0.29,,,,14002.0,5095.0,4018.0,11.6,2.9,2.1,0.16,0.16,0.09,,,,0.830351,2010,2014-08-27,110.0,160.0,132.0,2451736.0,5051.0,6783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,47 Uma,164.8708333,40.4294444,5.1,,,,,13.97,1.91,1.91,0.0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,G0V,7.4,1.9,1.9,5892.0,70.0,70.0,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,2017-06-11,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc c,Confirmed,0.1784,0.0078,0.0275,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,2017-06-11,356.0,22.0,22.0,2453983.0,3.0,3.0,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc d,Confirmed,3.86,0.15,0.6,3.86,0.15,0.6,,,,4867.0,26.0,25.0,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,2017-06-11,254.0,32.0,32.0,2453490.0,437.0,437.0,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
55 Cnc f,Confirmed,0.1479,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,2017-06-11,139.0,8.0,8.0,2451878.0,5.0,5.0,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,0.905,0.015,0.015,0.943,0.01,0.01,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,
6 Lyn b,Confirmed,69.0,66.0,69.0,2.4,,,,,,899.0,19.0,19.0,2.2,,,0.134,0.052,0.052,2.0,1.0,79.0,0.038664,2008,2014-08-27,27.0,27.0,27.0,2453309.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,6 Lyn,97.6958333,58.1627778,5.86,4.8,4.27,3.03,3.7,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,K0IV,,,,4978.0,18.0,18.0,,,
61 Vir b,Confirmed,0.016,0.0016,0.0016,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5e-06,5e-06,0.12,0.11,0.11,,,,0.005892,2009,2009-12-15,105.0,54.0,54.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
61 Vir c,Confirmed,0.0573,0.0035,0.0035,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,2009-12-15,341.0,38.0,38.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
61 Vir d,Confirmed,0.072,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,2009-12-15,314.0,20.0,20.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,61 Vir,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,8.96,3.0,3.0,5531.0,,,Imaging,,HD 115617
7 CMa b,Confirmed,2.46,0.14,0.14,2.46,0.14,0.14,,,,796.0,7.4,7.4,1.93,0.01,0.01,0.22,0.07,0.07,,,,0.096203,2011,2015-10-19,77.0,14.0,14.0,2454093.0,34.0,34.0,,,,,,,,,,,,,,,,,,,41.8,2.4,2.4,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,HD 47205 b,,7 CMa,99.1708333,-19.2558333,3.96,,,,,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,K1 III,,,,4792.0,100.0,100.0,,,
70 Vir b,Confirmed,6.6,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,2010-12-29,2.1,2.0,2.0,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,70 Vir,202.1083333,13.7866667,5.0,,,,,22.0,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,7.09,,,5432.0,,,IR Excess,,HR 117176
81 Cet b,Confirmed,5.3,,,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,0.02572,2008,2014-08-27,175.0,6.9,6.9,2452486.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,81 Cet,39.425,-3.3961111,5.65,,3.94,3.38,3.27,97.2,9.2,9.2,-0.06,0.03,0.03,2.4,0.4,0.4,11.0,0.1,0.1,G5III,,,,,,,,,
91 Aqr b,Confirmed,3.2,,,3.2,,,,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,0.006593,2003,2015-08-21,177.3,0.8,0.8,2453472.1,24.0,24.0,,,,,,,,,,,,,,,,,,,91.0,2.3,2.3,,,,,,,,,,Published in a refereed paper,Velocity,,,,,91 Aqr,348.9708333,-9.0875,4.21,,,,,45.9,0.6,0.6,-0.03,0.1,0.1,1.4,0.1,0.1,11.0,0.1,0.1,K0 III,3.56,0.63,0.63,4665.0,18.0,18.0,,,
AB Pic b,Confirmed,13.5,0.5,0.5,,,,,,,,,,275.0,,,,,,,,,5.813953,2005,2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,-0.64,,,,,,,,,K2 V,0.03,,,4875.0,,,,,
Aldebaran b,Confirmed,6.47,0.53,0.53,6.47,0.53,0.53,,,,628.96,0.9,0.9,1.46,0.27,0.27,0.1,0.05,0.05,,,,0.1,1998,2015-05-15,287.0,29.0,29.0,2451297.0,50.0,50.0,,,,,,,,,,,,,,,,,,,142.1,7.2,7.2,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,Aldebaran,68.9791667,16.5091667,0.85,,,,,20.43,0.32,0.32,-0.27,0.05,0.05,1.13,0.11,0.11,45.1,0.1,0.1,K5III,6.6,2.4,2.4,4055.0,70.0,70.0,,,alf Tau
BD+14 4559 b,Confirmed,1.47,,,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,,,,0.01554,2009,2016-02-23,87.64,7.87,7.87,2453294.21,6.35,6.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,BD+14 4559,318.4,14.6894444,9.63,,,,,50.0,4.0,4.0,0.1,0.07,0.07,0.86,0.15,0.15,,,,K2V,,,,5008.0,20.0,20.0,,,
BD+20 1790 b,Confirmed,6.37,1.35,1.35,6.37,1.35,1.35,,,,7.78287,0.00076,0.00077,0.066,0.006,0.006,0.22,0.09,0.07,,,,0.002598,2009,2017-05-04,200.4,21.8,21.8,3085.8,0.5,0.5,,,,,,,,,,,,,,,,,,,905.0,94.0,93.0,,,,,,,,,,Announced on a professional conference,Other,,,,,BD+20 1790,110.9333333,20.4141667,9.93,,,,,25.4,4.0,4.0,0.3,0.2,0.2,0.63,0.09,0.09,0.71,0.03,0.03,K5V,0.057,0.023,0.023,4410.0,,,,Yes,
BD+20 2457 b,Confirmed,21.42,,,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,,,,0.00725,2009,2016-02-23,207.64,21.99,21.99,2454677.53,28.19,28.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200.0,100.0,100.0,-1.0,0.07,0.07,2.8,1.5,1.5,,,,K2II,,,,4127.0,17.0,17.0,,,
BD+20 2457 c,Confirmed,12.47,,,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,,,,0.01005,2009,2016-02-23,126.02,16.54,16.54,2453867.45,27.99,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,BD+20 2457,154.1875,19.8913889,9.75,,,,,200.0,100.0,100.0,-1.0,0.07,0.07,2.8,1.5,1.5,,,,K2II,,,,4127.0,17.0,17.0,,,
BD-08 2823 b,Confirmed,0.045,0.007,0.007,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,0.001327,2009,2016-02-23,30.0,100.0,100.0,2454637.7,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.5,4.0,4.0,4746.0,63.0,63.0,,,
BD-08 2823 c,Confirmed,0.33,0.03,0.03,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,0.016114,2009,2016-02-23,127.0,21.0,21.0,2454193.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,BD-08 2823,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4.5,4.0,4.0,4746.0,63.0,63.0,,,
BD-10 3166 b,Confirmed,0.46,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2015-02-24,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,Theoretical,,,BD-10 3166,164.6166667,-10.7702778,10.08,,,,,66.0,,,0.5,,,0.99,,,1.71,,,G4 V,4.18,,,5400.0,,,,,
BD-11 4672 b,Confirmed,0.53,0.05,0.05,0.53,0.05,0.05,,,,1667.0,33.0,33.0,2.28,0.07,0.07,0.05,0.05,0.05,,,,0.091575,2010,2016-02-23,,,,2455899.0,38.0,46.0,,,,,,,,,,,,,,,,,,,13.4,1.0,1.0,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,BD-11 4672,278.370833343,-11.636111126,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4.4,4.0,4.0,4475.0,100.0,100.0,,,
BD-17 63 b,Confirmed,5.1,0.12,0.12,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,,,,0.038728,2008,2014-08-27,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,BD-17 63,7.1416667,-16.2263889,9.62,,,,,34.6,1.5,1.5,-0.03,0.06,0.06,0.74,0.03,0.03,0.69,,,K5V,4.3,4.0,4.0,4714.0,93.0,93.0,,,
CD-35 2722 b,Confirmed,31.0,8.0,8.0,,,,,,,,,,67.0,4.0,4.0,,,,,,,3.14554,2011,2011-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.3300429231,-35.8253322455,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680.0,100.0,100.0,,,
CFBDS 1458 b,Confirmed,10.5,4.5,4.5,,,,,,,14227.0,8600.0,8600.0,2.6,0.3,0.3,,,,,,,0.112554,2011,2017-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDS 1458,224.6208333,10.2286111,,,19.86,20.18,20.63,31.9,2.4,2.8,,,,0.024,0.016,0.016,,,,T9.5,3.0,2.0,2.0,560.0,100.0,100.0,,,
CoRoT-1 b,Confirmed,1.03,0.12,0.12,,,,1.49,0.08,0.08,1.5089557,6.4e-06,6.4e-06,0.0254,0.0004,0.0004,0.0,,,85.1,0.5,0.5,5.5e-05,2007,2014-01-24,,,,,,,,,,2454159.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,CoRoT-1,102.0791667,-3.1022222,13.6,,,,,460.0,100.0,100.0,0.06,0.07,0.07,0.95,0.15,0.15,1.11,0.05,0.05,G0V,,,,6298.0,66.0,66.0,,,
CoRoT-10 b,Confirmed,2.75,0.14,0.14,,,,0.97,0.05,0.05,13.2406,0.0002,0.0002,0.1055,0.0021,0.0021,0.53,0.04,0.04,88.55,0.2,0.2,0.000306,2010,2014-08-29,218.9,6.4,6.4,2454990.85,0.08,0.08,,,,2454273.3436,0.0012,0.0012,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Transit,,,,,CoRoT-10,291.0625,0.7461111,15.22,,,,,345.0,50.0,50.0,0.26,0.07,0.07,0.89,0.05,0.05,0.79,0.05,0.05,K1V,3.0,inf,nan,5075.0,75.0,75.0,,,
